table,column,dtype,min,max,nulls
customers,customer_zip_code_prefix,int64,1003.0,99990.0,0
geolocation,geolocation_zip_code_prefix,int64,1001.0,99990.0,0
geolocation,geolocation_lat,float64,-36.6053744107061,45.06593318269697,0
geolocation,geolocation_lng,float64,-101.46676644931476,121.10539381057764,0
order_items,order_item_id,int64,1.0,21.0,0
order_items,price,float64,0.85,6735.0,0
order_items,freight_value,float64,0.0,409.68,0
payments,payment_sequential,int64,1.0,29.0,0
payments,payment_installments,int64,0.0,24.0,0
payments,payment_value,float64,0.0,13664.08,0
reviews,review_score,int64,1.0,5.0,0
products,product_name_lenght,float64,5.0,76.0,610
products,product_description_lenght,float64,4.0,3992.0,610
products,product_photos_qty,float64,1.0,20.0,610
products,product_weight_g,float64,0.0,40425.0,2
products,product_length_cm,float64,7.0,105.0,2
products,product_height_cm,float64,2.0,105.0,2
products,product_width_cm,float64,6.0,118.0,2
sellers,seller_zip_code_prefix,int64,1001.0,99730.0,0
